"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
145;"Timo Werner";"Tottenham";13;827;2;3;4.21;3.48;0.46;0.38
146;"Joelinton";"Newcastle United";20;1289;2;1;2.56;2.96;0.18;0.21
147;"Nathan Aké";"Manchester City";29;2046;2;2;2.18;1.74;0.1;0.08
148;"Jeffrey Schlupp";"Crystal Palace";29;1370;2;2;1.88;2.17;0.12;0.14
149;"Virgil van Dijk";"Liverpool";36;3177;2;2;3.3;1.86;0.09;0.05
150;"Jay Rodriguez";"Burnley";21;781;2;1;4.62;0.17;0.53;0.02
151;"Adama Traoré";"Fulham";17;310;2;3;1.49;0.7;0.43;0.2
152;"Josh Cullen";"Burnley";25;2072;2;3;0.53;1.93;0.02;0.08
153;"Ben Mee";"Brentford";16;1290;2;0;1.46;0.25;0.1;0.02
154;"Harry Maguire";"Manchester United";22;1645;2;2;2.14;1.31;0.12;0.07
155;"Álex Moreno";"Aston Villa";21;1033;2;0;1.44;1.16;0.13;0.1
156;"Estupiñán";"Brighton";19;1239;2;3;1.03;3.29;0.08;0.24
157;"Tosin Adarabioyo";"Fulham";20;1618;2;0;0.95;0.14;0.05;0.01
158;"Giovani Lo Celso";"Tottenham";22;466;2;2;0.5;1.6;0.1;0.31
159;"Youri Tielemans";"Aston Villa";32;1580;2;6;1;3.05;0.06;0.17
160;"Philip Billing";"Bournemouth";29;1359;2;2;2.87;3.72;0.19;0.25
161;"Enes Ünal";"Bournemouth";16;283;2;2;4.02;1.21;1.28;0.38
162;"Pau Torres";"Aston Villa";29;2467;2;0;1.53;0.62;0.06;0.02
163;"Joachim Andersen";"Crystal Palace";38;3420;2;3;2.44;2.89;0.06;0.08
164;"Pedro Neto";"Wolverhampton Wanderers";20;1524;2;9;3.29;5.22;0.19;0.31
165;"Manuel Akanji";"Manchester City";30;2517;2;0;2.2;0.53;0.08;0.02
166;"Rayan Ait Nouri";"Wolverhampton Wanderers";33;2391;2;1;3.24;2.35;0.12;0.09
167;"Nicolo Zaniolo";"Aston Villa";25;820;2;0;3.7;0.64;0.41;0.07
168;"Willy Boly";"Nottingham Forest";20;1461;2;1;1.47;1.38;0.09;0.08
169;"Axel Disasi";"Chelsea";31;2586;2;0;2.68;0.2;0.09;0.01
170;"William Saliba";"Arsenal";38;3420;2;1;2.37;0.25;0.06;0.01
171;"Christian Nørgaard";"Brentford";31;2556;2;1;3.17;2.97;0.11;0.1
172;"Diogo Dalot";"Manchester United";36;3171;2;3;1.33;3.09;0.04;0.09
173;"Max Kilman";"Wolverhampton Wanderers";38;3420;2;0;2.6;1.14;0.07;0.03
174;"Dan Burn";"Newcastle United";33;2763;2;2;4.11;1.9;0.13;0.06
175;"Carlos Vinicius";"Fulham";13;286;2;0;1.62;0.58;0.51;0.18
176;"Jean-Ricner Bellegarde";"Wolverhampton Wanderers";22;938;2;1;1.36;0.96;0.13;0.09
177;"Takehiro Tomiyasu";"Arsenal";22;1106;2;1;1.62;0.59;0.13;0.05
178;"Anssumane Fati";"Brighton";19;456;2;0;3.82;0.66;0.75;0.13
179;"Tyrick Mitchell";"Crystal Palace";37;3221;2;3;2.21;3.64;0.06;0.1
180;"Nicolás Domínguez";"Nottingham Forest";26;1543;2;2;1.7;0.91;0.1;0.05
181;"Sven Botman";"Newcastle United";17;1383;2;2;0.98;1.14;0.06;0.07
182;"Sasa Kalajdzic";"Wolverhampton Wanderers";11;132;2;0;1.35;1.08;0.92;0.74
183;"Iyenoma Destiny Udogie";"Tottenham";28;2437;2;3;2.81;2.55;0.1;0.09
184;"Matthew Cash";"Aston Villa";29;2142;2;2;4.49;2.97;0.19;0.12
185;"Kevin Schade";"Brentford";11;299;2;1;1.4;0.95;0.42;0.28
186;"Amadou Onana";"Everton";30;2093;2;0;2.55;2.41;0.11;0.1
187;"Kristoffer Ajer";"Brentford";28;1845;2;1;1.47;2.6;0.07;0.13
188;"Ethan Pinnock";"Brentford";29;2521;2;0;3.38;0.58;0.12;0.02
