"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
75;"Raúl Jiménez";"Wolverhampton Wanderers";10;824;4;0;2.36;0.63;0.26;0.07
76;"Mateusz Klich";"Leeds";35;2404;4;5;3;3.65;0.11;0.14
77;"Kai Havertz";"Chelsea";27;1523;4;3;6.35;1.55;0.38;0.09
78;"Ademola Lookman";"Fulham";34;2765;4;4;6.25;5.26;0.2;0.17
79;"Scott McTominay";"Manchester United";32;2121;4;1;1.85;2.11;0.08;0.09
80;"Stuart Armstrong";"Southampton";33;2791;4;5;2.64;2.9;0.09;0.09
81;"Miguel Almirón";"Newcastle United";34;2458;4;1;3.51;3.14;0.13;0.11
82;"Eberechi Eze";"Crystal Palace";34;2570;4;6;2.49;3.74;0.09;0.13
83;"Fabio Silva";"Wolverhampton Wanderers";32;1341;4;3;6.14;1.17;0.41;0.08
84;"Allan Saint-Maximin";"Newcastle United";25;1578;3;4;2.83;4.01;0.16;0.23
85;"Jannik Vestergaard";"Southampton";30;2571;3;0;2.11;0.74;0.07;0.03
86;"Pascal Groß";"Brighton";34;2469;3;8;5.01;5.37;0.18;0.2
87;"Theo Walcott";"Everton,Southampton";22;1660;3;3;2.28;1.26;0.12;0.07
88;"Angelo Ogbonna";"West Ham";28;2493;3;0;1.7;0.43;0.06;0.02
89;"Ross Barkley";"Aston Villa,Chelsea";26;1574;3;1;3.7;4.32;0.21;0.25
90;"Ashley Westwood";"Burnley";38;3412;3;3;1.01;6.53;0.03;0.17
91;"Aleksandar Mitrovic";"Fulham";27;1369;3;3;5.68;2.92;0.37;0.19
92;"Ben Chilwell";"Chelsea";27;2296;3;5;2.98;2.46;0.12;0.1
93;"Craig Dawson";"West Ham";22;1925;3;0;2.74;0.05;0.13;0
94;"Kyle Bartley";"West Bromwich Albion";30;2581;3;1;2.6;0.76;0.09;0.03
95;"Matej Vydra";"Burnley";28;1363;3;2;5.37;2.12;0.35;0.14
